source_system,procedure_number,lot_number,document_name,document_url,local_path,extraction_method,text_chars,ocr_required,pii_findings_count,text_preview
sberbank_ast,102395652,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/24/65e/8dc/2465e8dc2a45c013123b5ad08721a67c.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\102395652_001_ТЗ.docx,docx_xml,152,False,0,"Техническое задание № Наименование товаров Кол-во ИТОГО без НДС ИТОГО с НДС 1 Ноутбук Lenovo V15 G4 (82YU014ARU) 1 60 000,00 Итого с доставкой 60 000,00"
sberbank_ast,102939902,1,Запрос КП.docx,https://sberb2b.ru/uploads/documents/df/464/e3e/df464e3e81dab3e079a8fbcbf78cf35b.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\102939902_002_Запрос КП.docx,docx_xml,2985,False,1,"Запрос о предоставлении ценовой информации АО «Сбербанк Лизинг» (далее Общество), являясь юридическим лицом, закупочная деятельность которого регламентируется Федеральным законом от 18 июля 2011 года 223-ФЗ «О закупках товаров, работ, услуг отдельными видами юридических лиц», планирует осуществить закупку оказание услуг по проведению мероприятия: «Розыгрыш путевок на запуск ракеты на космодроме Байконур». В целях проведения Обществом анализа рынка закупаемых услуг просим предоставить информацию о цене в форме коммерческого предложения по форме в соответствии с Приложением №1 к запросу. Цена должна включать в себя все расходы, необходимые для исполнения договора, а также все налоги и сборы. Основные условия исполнения договора: 1) описание предмета закупки, характеристики поставляемого товара, работы, услуги в соответствии с Техническим заданием. 2) порядок поставки товара (выполнения работ, оказания услуг) - в соответствии с Техническим заданием; 3) предполагаемые сроки поставки товара"
sberbank_ast,102939902,1,ТЗ v.3.docx,https://sberb2b.ru/uploads/documents/04/743/bc8/04743bc835302b4891c3422b7b26ba40.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\102939902_001_ТЗ v.3.docx,docx_xml,11095,False,0,"Техническое задание на проведение мероприятия: «Розыгрыш путевок на запуск ракеты на космодроме Байконур» 1 Предмет договора Оказание услуг по организации розыгрыша, трансляции в онлайн-формате и реализации тура на запуск ракеты на космодроме Байконур для 11 победителей (далее – услуги) 2 Цель мероприятия Рост узнаваемости бренда СберЛизинг путем организации уникального туристического мероприятия, создание положительного имиджа компании среди потенциальных клиентов и повышение лояльности существующих пользователей услуг 3 Содержание Комплексное проведение мероприятия - розыгрыша в рамках акции и последующее сопровождение победителей розыгрыша (организация проведения тура) согласно пунктам 5 - 6 включает в себя: Закупку Исполнителем призового фонда; Оказание услуг по организации проведения розыгрыша; Организацию проведения онлайн-трансляции розыгрыша; Проведение коммуникации с победителями (сбор персональных данных, документов по передачи призов и денежной части, консультация по всем во"
sberbank_ast,10319775,1,"ТФД закупка до 500 тр _21.08.2025, 02_16_10.docx",https://sberb2b.ru/uploads/documents/37/ab7/2f3/37ab72f3f8b55bd842a7192a3b6ddc49.bin,"D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\10319775_001_ТФД закупка до 500 тр _21.08.2025, 02_16_10.docx",docx_xml,67872,False,4,"ДОГОВОР № г. Москва «__»_______20__г. Публичное акционерное общество «Сбербанк России», ПАО Сбербанк , именуемое в дальнейшем «Заказчик», в лице Категорийного директора Второго категорийного управления Центра снабжения ПАО Сбербанк Савина Анатолия Алексеевича, действующего на основании Машиночитаемой доверенности № 276D1E7B-0529-45FD-A882-35667B5737C6 от 04.07.2025 года , с одной стороны, и {Партнер полное наименование Партнера} , именуемый в дальнейшем «Поставщик», {ФИО представителя партнера}, действующий на основании ОГРНИП {ОГРН} , с другой стороны, вместе в дальнейшем именуемые «Стороны», а по отдельности «Сторона», заключили настоящий договор (далее – Договор) о нижеследующем: ПРЕДМЕТ ДОГОВОРА Предметом Договора является поставка Поставщиком Заказчику на возмездной основе Продукции по номенклатуре и ценам, указанным в Спецификации поставки (далее –Продукция). Наименование, точное описание Продукции, количество Продукции, характеристики, адрес(а) доставки Продукции, срок и способ "
sberbank_ast,10319775,1,Техническое задание.docx,https://sberb2b.ru/uploads/documents/77/b65/337/77b65337f67b2ddb85a9753b1e8620a2.bin,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\10319775_002_Техническое задание.docx,docx_xml,3965,False,0,"Техническое задание Подробное описание продукции (ассортимент, характеристики, объем). № п/п Наименование ТМЦ* Характеристики ТМЦ Ед. измерения Кол-во 1 Набор пластиковых съемников для панелей облицовки Материал – Армированный стекловолокном нейлон; Набор – Да; Кол-во съемников в комплекте – Не менее 11 шт.; Вес комплекта в сборе – Не более 800 гр.; Наличие чехла в комплекте: Да; Тип чехла – Полотно; Материал чехла – тетрон; Особенности: съемники при демонтаже деталей салона автомобиля не должны их повреждать; чехол идущий в комплекте должен иметь для каждого съемника отдельный карман для хранения. Шт. 9.00 2 Набор диэлектрических отверток Материал рукояти - 2-х компонентный, с мягкими прорезиненными вставками; Диэлектрическое покрытие – Да; Предназначение – Для работы с напряжением до 1000 В.; Материал стрежня отверток – CrV; Вид шлица – прямой; Вес комплекта в сборе – Не более 300 гр.; Комплектация: Отвертки шлицевые: SL 1.0*5.5*125 мм – 1шт., SL 0.8*4.0*100 мм – 1 шт.; Отвертки крес"
sberbank_ast,104092826,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/45/fc0/52a/45fc052ad0a880db42d13c39f6245ddd.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\104092826_001_ТЗ.docx,docx_xml,255,False,0,"№ Наименование товаров Кол-во уп./шт. 1 Клейкие закладки пласт. 5 цв.по по 20 л.., 12х45мм, разн.цв. 400 шт. 2 Папка с арочным механизмом 50 мм мраморная черная 100 4 кор. По 25 шт. 3 Папка с арочным механизмом 75 мм мраморная черная 300 15 кор. По 20 шт."
sberbank_ast,104641873,1,"ТФД закупка до 500 тр _15.09.2025, 07_24_20.docx",https://sberb2b.ru/uploads/documents/76/e11/bb9/76e11bb93eaf473d05c278528b55e683.bin,"D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\104641873_002_ТФД закупка до 500 тр _15.09.2025, 07_24_20.docx",docx_xml,67593,False,4,"ДОГОВОР № г. Москва «__»_______20__г. Публичное акционерное общество «Сбербанк России», ПАО Сбербанк , именуемое в дальнейшем «Заказчик», в лице Категорийного директора Второго категорийного управления Центра снабжения ПАО Сбербанк Савина Анатолия Алексеевича, действующего на основании Машиночитаемой доверенности № 276D1E7B-0529-45FD-A882-35667B5737C6 от 04.07.2025 года , с одной стороны, и {Партнер полное наименование Партнера} , именуемый в дальнейшем «Поставщик», {ФИО представителя партнера}, действующий на основании ОГРНИП {ОГРН} , с другой стороны, вместе в дальнейшем именуемые «Стороны», а по отдельности «Сторона», заключили настоящий договор (далее – Договор) о нижеследующем: ПРЕДМЕТ ДОГОВОРА Предметом Договора является поставка Поставщиком Заказчику на возмездной основе Продукции по номенклатуре и ценам, указанным в Спецификации поставки (далее –Продукция). Наименование, точное описание Продукции, количество Продукции, характеристики, адрес(а) доставки Продукции, срок и способ "
sberbank_ast,104641873,1,Техническое задание.docx,https://sberb2b.ru/uploads/documents/16/1cd/249/161cd24949e58da3e493dbbd7e86d138.bin,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\104641873_001_Техническое задание.docx,docx_xml,3775,False,0,"Техническое задание Подробное описание продукции (ассортимент, характеристики, объем). № п/п Наименование ТМЦ* Характеристики ТМЦ Ед. измерения Кол-во 1 Складчатый фильтр для NT 361, 561, 35/1, 45/1 (Karcher 6.904-367.0 или эквивалент) Тип пылесоса: промышленный Тип фильтра: складчатый фильтр Класс фильтрации: М, L Моющийся: нет Гипоаллергенный: да Подходит для Karcher: да Фильтр должен быть совместим с пылесосом, указанным в поз. 5 п.2 Технического задания: «Пылесос влажной и сухой уборки (Karcher NT 30/1 Tact Te L 1.148-211 или эквивалент)» Шт. 10.00 2 Насадка для мягкой мебели и обивки, одежды, штор (35 мм) (OZONE UN-13735 или эквивалент) Тип: щетка Форма: плоская Назначение: для мягкой мебели С ворсом: нет Набор: нет С резиновыми вставками: нет С металлической щетиной: нет Для трубки диаметром: 35 мм Шт. 5.00 3 Насадка c узким соплом 100 мм для пылесоса с трубкой диаметром 35 мм (OZONE UN-7235 или эквивалент) Тип: насадка Форма: плоская Назначение: для мягкой мебели С ворсом: нет Н"
sberbank_ast,105046410,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/11/063/64c/1106364cad5ce9e9d74b632ea0147151.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\105046410_001_ТЗ.docx,docx_xml,3650,False,1,"Запрос о предоставлении ценовой информации АО «Сбербанк Лизинг» (далее Общество), являясь юридическим лицом, закупочная деятельность которого регламентируется Федеральным законом от 18 июля 2011 года 223-ФЗ «О закупках товаров, работ, услуг отдельными видами юридических лиц», планирует осуществить закупку по выбору исполнителя на оказание услуг по организации банкета. В целях проведения Обществом анализа рынка закупаемых товаров/работ/услуг просим предоставить информацию о цене в форме коммерческого предложения по форме в соответствии с Приложением № 2 к запросу. Основные условия исполнения договора – указаны в Приложении № 2 к запросу. Сканированную копию коммерческого предложения просим направить на адрес электронной почты: [EMAIL] в ответ на направленный запрос. Предложение должно быть подписано лицом, имеющим право, в соответствии с законодательством Российской Федерации, действовать от лица организации без доверенности или надлежащим образом уполномоченным им лицом на основании до"
sberbank_ast,105075646,1,Проектр Договора оказания услуг кейтеринг.docx,https://sberb2b.ru/uploads/documents/18/3c0/e30/183c0e30c75f718dffe97b432a5a1092.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\105075646_001_Проектр Договора оказания услуг кейтеринг.docx,docx_xml,16179,False,2,"ДОГОВОР ОБ ОКАЗАНИИ УСЛУГ № _____ г. Пенза «__» ______ 2025г. Акционерное Общество «Сбербанк – Автоматизированная система торгов» (далее – АО «Сбербанк-АСТ»), в лице генерального директора Андреева Николая Юрьевича, действующегона основании Устава, именуемое в дальнейшем «Заказчик», с одной стороны и __________________________, именуемый в дальнейшем «Исполнитель», совместно именуемые «Стороны», а по отдельности «Сторона», заключили настоящий Договор (далее – Договор) о нижеследующем: . ПРЕДМЕТ ДОГОВОРА По настоящему Договору Исполнитель обязуется оказать услуги питания участникам Заказчика в рамках «Научно-практической конференции по практике применения нормативных правовых актов в сфере «имущественных» торгов» 16 апреля 2025 года по адресу: город Ярославль, улица Советская, дом 34, согласно требованиям Технического задания на предоставление услуг питание (далее – Техническое задание) от Заказчика (Приложение №1), являющегося неотъемлемой частью настоящего договора. Заказчик обязуется"
sberbank_ast,105075646,1,ТЗ кофе-брейк.docx,https://sberb2b.ru/uploads/documents/f8/cb8/922/f8cb8922a6eaf4f917fdaea5951fd3f4.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\105075646_002_ТЗ кофе-брейк.docx,docx_xml,1662,False,0,"Техническое задание на оказание услуг питания Мероприятие: Научно-практическая конференция по практике применения нормативных правовых актов в сфере «имущественных» торгов Место проведения: Ярославская обл., г. Ярославль, ул. Советская, д. 34 (Офис ПАО «Сбербанк», Конференц зал). Дата и время проведения: 16.04.2025 с 10:30 до 15:00 Количество участников: 50 человек Формат: Кофе-брейк Продолжительность: 30 (тридцать) минут Частота: 1 кофе-брейк в середине конференции (с 12:30 до 13:00). Меню 1. Напитки. кофе (растворимый) – 40 шт. чай (черный, зеленый) – 30 шт. вода бутилированная по 0,5 л. (газированная, негазированная) – 49 шт. 2. Закуски. Профитроли (с паштетом) – 25 шт. Брускетта (овощами и мясом) – 25 шт. Мини-пирожки (с различными начинками) – 80 шт. ½ сендвича (с различными начинками) – 50 шт. 3. Десерты. Печенье (кокосовое) – 30 шт. Макарони (с различными вкусами) – 25 шт. Мини-медовик – 30 шт. Мини-красный бархат – 25 шт. 4. Оборудование. Скатерти (аренда) – 5 шт. Термопот (аре"
sberbank_ast,105469882,1,ТЗ (1).docx,https://sberb2b.ru/uploads/documents/dc/606/f51/dc606f514010778398be40446387b80b.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\105469882_001_ТЗ (1).docx,docx_xml,234,False,0,"Техническое задание Адрес оказания услуг: г. Курган, ул. Гоголя, д. 98 Услуга: Предоставление доступа к сети интернет – 5 Мбит/с Статический IP-адрес – 1 IP-адрес. Услуги по подключению. Срок договора: 31.12.2025 – 30.12.2028 (3 года)"
sberbank_ast,107803731,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/ec/ed5/3fb/eced53fb9c2bd121431bae150bbd7e44.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\107803731_001_ТЗ.docx,docx_xml,2721,False,0,"Техническое задание № Наименование товаров Кол-во шт. Цена за ед (руб) ИТОГО (руб) 1 Магнитно-маркерная доска (настенная доска) Новая экологически безопасная металлокерамическая поверхность e3 environmental ceramicsteel - это первая и единственная ""умная"" поверхность для письма, получившая сертификат Cradle to Cradle класса Silver.Только экологическая металлокерамическая поверхность e3 environmental ceramicsteel может гордиться слкдующими качествами: Стеклообразное покрытие наплавляется на холодную сталь высшего качества; Сертификат cradle to Cradle класса Silver. Новые меловые доски с инновационной металлокерамической поверхностью для письма обладают следующими преимуществами: Пожизненная гарантия; Исключительно комфортная поверхность для письма и удаления надписей; Стойкость к химическим веществам, огню, пятнам, бактериям, царапинам и граффити; Сверхгладкая поверхность для письма; Написанное легко стирается; Яркий цветовой контраст; Значительное снижение уровня преломления сввета на "
sberbank_ast,108305899,1,описание предмета закупки.docx,https://sberb2b.ru/uploads/documents/90/2d0/d67/902d0d6717c27e31203ef95a84e94938.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\108305899_001_описание предмета закупки.docx,docx_xml,1736,False,0,"ДЕФЕКТАЦИОННЫЙ АКТ к договору аренды № г. Санкт-Петербург, ул. 2-я Советская, дом 7, офис 600, этаж 6. В соответствии Договором аренды Стороны провели осмотр: - помещения общей площадью 18 квадратных метров (помещение 22-Н, антресоль) Стороны констатируют, что арендуемое Помещение находится в следующем состоянии: Дефекты Способ устранения Пол Отсутствуют уголки (фото №1). Замена уголков - 1 шт. Стены ГКЛ-имеются потертости, царапины, загрязнения (фото №2- №7) Частичная шпатлевка стен – 4,3 м.кв.; Окраска стен в 2 слоя – 52,2 м.кв. Потолок Загрязнение потолочных папок (фото №8- №9) Замена потолочных папок – 6 кв.м. Двери Требуется техническое обслуживание фурнитуры. Сервисное обслуживание дверей – 1 шт. Окна, подоконники, оконная фурнитура Требуется сервисное обслуживание окон. Загрязнение, царапины, трещины на подоконниках и откосах (фото №10-№12) Сервисное обслуживание окон – 1 шт.; Частичная шпатлевка откосов – 1 м.кв.; Окраска подоконников и откосов – 2,5 м.кв. Инженерное оборудован"
sberbank_ast,109289440,1,ТЗ (Фасилитация_Игры).docx,https://sberb2b.ru/uploads/documents/d3/fc1/19b/d3fc119b357fd478da5b95cca79d0cce.docx,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\109289440_002_ТЗ (Фасилитация_Игры).docx,docx_xml,7131,False,0,"Техническое задание Подробное описание продукции (ассортимент, характеристики, объем). № п/п Наименование ТМЦ* Характеристики ТМЦ Ед. измерения Кол-во 1. Конструктор LEGO Classic Креативные дома (или аналог) Тип конструктора: блочный; Серия: Classic; Материал: пластик; Особенности конструктора: Совместим с другими наборами LEGO, оригинальный набор; Количество деталей: не менее 850 шт.; Состав: 6 домов разного цвета с окнами, дверями и аксессуарами для обустройства территории вокруг; Высота синего дома: более 15 см; Цвет товара: мультиколор. шт. 2 2. Конструктор LEGO Classic творческая Вселенная фантазии (или аналог) Тип конструктора: блочный, сборная модель; Серия: Classic; Тематика: фантазия без границ; Особенности конструктора: Совместим с другими наборами LEGO, оригинальный набор; Особенности: подвижные элементы; Материал: пластик; Тематика конструктора: фигурки; Количество деталей: не менее 1800 шт.; Сборка: различных типов зданий, транспортных средств, причудливых конструкций; Кол"
