entity_name,source_system,external_customer_key,external_customer_name,external_inn,external_kpp,query_used,resolution_method,records_total,candidate_rank
ООО Купер,sberbank_ast,5836695509_583601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР""",5836695509,583601001,Купер,ast_long_dictionary,0,4
ООО Купер,sberbank_ast,1644025542_164401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР""",1644025542,164401001,Купер,ast_long_dictionary,0,5
ООО Купер,sberbank_ast,7813536390_781301001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Купер""",7813536390,781301001,Купер,ast_long_dictionary,0,6
ООО Купер,sberbank_ast,1841057670_184101001,"Общество с Ограниченной Ответственностью ""КУПЕР""",1841057670,184101001,Купер,ast_long_dictionary,0,7
ООО Купер,sberbank_ast,5032297040_503201001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР""",5032297040,503201001,Купер,ast_long_dictionary,0,8
ООО Купер,sberbank_ast,7725824880_772501001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР БУК""",7725824880,772501001,Купер,ast_long_dictionary,0,9
ООО Купер,sberbank_ast,1658127431_166001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУПЕР ГЛОБАЛ""",1658127431,166001001,Купер,ast_long_dictionary,0,10
ООО Купер,sberbank_ast,4205204517_420501001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КМ-КУПЕР""",4205204517,420501001,Купер,ast_long_dictionary,0,11
ООО Купер,sberbank_ast,7810421793_781001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИДЖИО КУПЕР""",7810421793,781001001,Купер,ast_long_dictionary,0,12
ООО Купер,sberbank_ast,2722132105_272201001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПСК""КУПЕР-24""""",2722132105,272201001,Купер,ast_long_dictionary,0,13
ООО Купер,sberbank_ast,0105082064_010501001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КУПЕР СМАРТ""",0105082064,010501001,Купер,ast_long_dictionary,0,14
ООО Купер,sberbank_ast,0105082064_665801001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КУПЕР СМАРТ""",0105082064,665801001,Купер,ast_long_dictionary,0,15
ООО СК Сбербанк Страхование,eis,7744002123_773001001_1037700051146,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,Сбербанк Страхование,eis_choose_organization,0,1
ООО СК Сбербанк Страхование,sberbank_ast,7744002123_773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,7744002123,ast_long_dictionary,21,1
ООО СК Сбербанк Страхование Жизни,eis,7744002123_773001001_1037700051146,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,Сбербанк Страхование Жизни,eis_choose_organization,0,1
ООО СК Сбербанк Страхование Жизни,sberbank_ast,7744002123_773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ СТРАХОВАЯ КОМПАНИЯ ""СБЕРБАНК СТРАХОВАНИЕ ЖИЗНИ""",7744002123,773001001,7744002123,ast_long_dictionary,21,1
ООО СберАвто,sberbank_ast,9709054813_771401001,Общество с ограниченной ответственностью «СберАвто»,9709054813,771401001,СберАвто,ast_long_dictionary,62,1
ООО СберЛогистика,sberbank_ast,7736322345_773601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЛОГИСТИКА""",7736322345,773601001,СберЛогистика,ast_long_dictionary,0,1
ООО СберЛогистика,sberbank_ast,7736322345_772801001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЛОГИСТИКА""",7736322345,772801001,СберЛогистика,ast_long_dictionary,0,2
ООО СберЛогистика,sberbank_ast,7736322345_775101001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРЛОГИСТИКА""",7736322345,775101001,СберЛогистика,ast_long_dictionary,0,3
ООО СберОбразование,sberbank_ast,7730262964_773001001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРОБРАЗОВАНИЕ""",7730262964,773001001,СберОбразование,ast_long_dictionary,113,1
ООО СберТех,eis,7736632467_772601001_1117746533926,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",7736632467,772601001,СберТех,eis_choose_organization,0,1
ООО СберТех,sberbank_ast,7736632467_772601001,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",7736632467,772601001,7736632467,ast_long_dictionary,82,1
ООО Сбербанк Капитал,eis,7736581290_773601001_1087746887678,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК КАПИТАЛ""",7736581290,773601001,Сбербанк Капитал,eis_choose_organization,0,1
ООО Сбербанк Капитал,sberbank_ast,7736581290_773601001,"Общество с ограниченной ответственностью ""Сбербанк Капитал""",7736581290,773601001,7736581290,ast_long_dictionary,1,1
ООО Сбербанк Факторинг,eis,7802754982_771401001_1117847260794,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""",7802754982,771401001,Сбербанк Факторинг,eis_choose_organization,0,1
ООО Сбербанк Факторинг,sberbank_ast,7802754982_780201005,Общество с ограниченной ответственностью «Сбербанк Факторинг»,7802754982,780201005,7802754982,ast_long_dictionary,0,1
ООО Сбербанк Факторинг,sberbank_ast,7802754982_771401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК ФАКТОРИНГ""",7802754982,771401001,7802754982,ast_long_dictionary,18,2
ООО Сбербанк-Телеком,sberbank_ast,7736264044_773601001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",7736264044,773601001,7736264044,ast_long_dictionary,0,1
ООО Сбербанк-Телеком,sberbank_ast,7736264044_997750001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",7736264044,997750001,7736264044,ast_long_dictionary,253,2
ООО Сбербанк-Технологии.Нойдорф,eis,7819315503_781901001_1127847169680,"Общество с ограниченной ответственностью ""Сбербанк-Технологии.Нойдорф""",7819315503,781901001,Сбербанк-Технологии,eis_choose_organization,0,1
ООО Сбербанк-Технологии.Нойдорф,sberbank_ast,7819315503_781901001,Общество с ограниченной ответственностью «Сбербанк-Технологии.Нойдорф»,7819315503,781901001,7819315503,ast_long_dictionary,0,1
ООО Страховой брокер Сбербанка,eis,12007001449,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,201401001,Страховой брокер Сбербанка,eis_choose_organization,0,1
ООО Страховой брокер Сбербанка,sberbank_ast,7706810730_773001001,"Общество с ограниченной ответственностью ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,773001001,7706810730,ast_long_dictionary,4,1
ООО Страховой брокер Сбербанка,sberbank_ast,7706810730_201401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,201401001,7706810730,ast_long_dictionary,25,2
ООО Страховой брокер Сбербанка,zakazrf,544394,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,,7706810730,zakazrf_customer_dialog,0,1
ПАО Сбербанк России,eis,18950000008,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,Сбербанк,eis_choose_organization,0,1
ПАО Сбербанк России,sberbank_ast,7707083893_590443001,Западно-Уральский банк ПАО Сбербанк,7707083893,590443001,7707083893,ast_long_dictionary,0,1
ПАО Сбербанк России,sberbank_ast,7707083893_032302001,Бурятское отделение №8601 Байкальского банка ПАО Сбербанк,7707083893,032302001,7707083893,ast_long_dictionary,0,2
ПАО Сбербанк России,sberbank_ast,7707083893_263402001,Северо-Кавказский банк ПАО Сбербанк,7707083893,263402001,7707083893,ast_long_dictionary,0,3
ПАО Сбербанк России,sberbank_ast,7707083893_753602002,Читинское ГОСБ № 8600 Байкальского банка ПАО Сбербанк,7707083893,753602002,7707083893,ast_long_dictionary,0,4
ПАО Сбербанк России,sberbank_ast,7707083893_280102001,"Благовещенское отделение №8636 Публичное акционерное общество ""Сбербанк России""",7707083893,280102001,7707083893,ast_long_dictionary,0,5
ПАО Сбербанк России,sberbank_ast,7707083893_561202001,Оренбургское отделение № 8623 Поволжского банка ПАО Сбербанк,7707083893,561202001,7707083893,ast_long_dictionary,0,6
ПАО Сбербанк России,sberbank_ast,7707083893_440102001,Костромское отделение № 8640 Северного банка ПАО Сбербанк,7707083893,440102001,7707083893,ast_long_dictionary,0,7
ПАО Сбербанк России,sberbank_ast,7707083893_550502001,Омское отделение № 8634 Западно-Сибирского банка ПАО Сбербанк.,7707083893,550502001,7707083893,ast_long_dictionary,0,8
ПАО Сбербанк России,sberbank_ast,7707083893_861043001,Новоуренгойское ОСБ № 8369 Западно-Сибирского банка ПАО Сбербанк.,7707083893,861043001,7707083893,ast_long_dictionary,0,9
ПАО Сбербанк России,sberbank_ast,7707083893_890502001,Ноябрьское отделение № 8402 Западно-Сибирского банка ПАО Сбербанк.,7707083893,890502001,7707083893,ast_long_dictionary,0,10
ПАО Сбербанк России,sberbank_ast,7707083893_344402001,Волгоградское отделение №8621 Поволжского банка ПАО Сбербанк,7707083893,344402001,7707083893,ast_long_dictionary,0,11
ПАО Сбербанк России,sberbank_ast,7707083893_490902001,Северо-Восточный банк ПАО Сбербанк,7707083893,490902001,7707083893,ast_long_dictionary,0,12
ПАО Сбербанк России,sberbank_ast,7707083893_645502001,Саратовское отделение № 8622 Поволжского банка ПАО Сбербанк,7707083893,645502001,7707083893,ast_long_dictionary,0,13
ПАО Сбербанк России,sberbank_ast,7707083893_861002001,Няганское отделение № 8448 Западно-Сибирского банка ПАО Сбербанк.,7707083893,861002001,7707083893,ast_long_dictionary,0,14
ПАО Сбербанк России,sberbank_ast,7707083893_745302001,Челябинское отделение № 8597 Уральского банка ПАО Сбербанк.,7707083893,745302001,7707083893,ast_long_dictionary,0,15
ПАО Сбербанк России,sberbank_ast,7707083893_890302001,Надымское ОСБ № 8028 Западно-Сибирского банка ПАО Сбербанк.,7707083893,890302001,7707083893,ast_long_dictionary,0,16
ПАО Сбербанк России,sberbank_ast,7707083893_860302001,Сургутское ОСБ № 5940 Западно-Сибирского банка ПАО Сбербанк.,7707083893,860302001,7707083893,ast_long_dictionary,0,17
ПАО Сбербанк России,sberbank_ast,7707083893_631602002,Астраханское отделение №8625 Поволжского банка ПАО Сбербанк,7707083893,631602002,7707083893,ast_long_dictionary,0,18
ПАО Сбербанк России,sberbank_ast,7707083893_410145002,Камчатское отделение №8556 Северо-Восточного банка ПАО Сбербанк,7707083893,410145002,7707083893,ast_long_dictionary,0,19
ПАО Сбербанк России,sberbank_ast,7707083893_732502002,Ульяновское отделение № 8588 Поволжского банка ПАО Сбербанк,7707083893,732502002,7707083893,ast_long_dictionary,0,20
ПАО Сбербанк России,sberbank_ast,7707083893_246602001,ПАО Сбербанк,7707083893,246602001,Сбербанк,ast_long_dictionary,0,21
ПАО Сбербанк России,sberbank_ast,7707083893_773643002,Среднерусский банк ПАО Сбербанк,7707083893,773643002,Сбербанк,ast_long_dictionary,212,22
ПАО Сбербанк России,sberbank_ast,7707083893_540602001,Сибирский банк ПАО Сбербанк,7707083893,540602001,Сбербанк,ast_long_dictionary,419,23
ПАО Сбербанк России,sberbank_ast,7707083893_773643001,Московский банк ПАО Сбербанк.,7707083893,773643001,Сбербанк,ast_long_dictionary,0,24
ПАО Сбербанк России,sberbank_ast,7707083893_380843001,Байкальский банк ПАО Сбербанк,7707083893,380843001,Сбербанк,ast_long_dictionary,66,25
ПАО Сбербанк России,sberbank_ast,7707083893_631602001,Поволжский банк ПАО Сбербанк,7707083893,631602001,Сбербанк,ast_long_dictionary,1,26
ПАО Сбербанк России,sberbank_ast,7707083893_667102008,Уральский банк ПАО Сбербанк,7707083893,667102008,Сбербанк,ast_long_dictionary,119,27
ПАО Сбербанк России,sberbank_ast,7707083893_272143001,Дальневосточный банк ПАО Сбербанк,7707083893,272143001,Сбербанк,ast_long_dictionary,88,28
ПАО Сбербанк России,sberbank_ast,7707083893_434502001,"Публичное акционерное общество ""Сбербанк России""",7707083893,434502001,Сбербанк,ast_long_dictionary,0,29
ПАО Сбербанк России,sberbank_ast,7707083893_720302020,Публичное акционерное общество «Сбербанк России»,7707083893,720302020,Сбербанк,ast_long_dictionary,0,30
ПАО Сбербанк России,sberbank_ast,7707083893_332802001,"Публичное акционерное общество ""Сбербанк России""",7707083893,332802001,Сбербанк,ast_long_dictionary,0,31
ПАО Сбербанк России,sberbank_ast,7707083893_165502001,"Публичное акционерное общество ""Сбербанк России""",7707083893,165502001,Сбербанк,ast_long_dictionary,0,32
ПАО Сбербанк России,sberbank_ast,7707083893_773601001,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,Сбербанк,ast_long_dictionary,2075,33
ПАО Сбербанк России,sberbank_ast,7707083893_775003035,Публичное акционерное общество «Сбербанк России»,7707083893,775003035,СБЕРБАНК РОССИИ,ast_long_dictionary,114,34
ПАО Сбербанк России,sberbank_ast,7707083893_027802001,"Публичное акционерное общество ""Сбербанк России"".",7707083893,027802001,СБЕРБАНК РОССИИ,ast_long_dictionary,0,35
ПАО Сбербанк России,sberbank_ast,7707083893_760443001,"Публичное акционерное общество ""Сбербанк России""",7707083893,760443001,СБЕРБАНК РОССИИ,ast_long_dictionary,0,36
ПАО Сбербанк России,sberbank_ast,7707083893_121543001,"Публичное акционерное общество ""Сбербанк России"", отделение Марий Эл №8614",7707083893,121543001,СБЕРБАНК РОССИИ,ast_long_dictionary,0,37
ПАО Сбербанк России,zakazrf,2384,"ОАО ""Сбербанка России"" Октябрьское отделение № 4676",7707083893,,7707083893,zakazrf_customer_dialog,0,1
ПАО Сбербанк России,zakazrf,465053,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,,7707083893,zakazrf_customer_dialog,0,2
ПАО Сбербанк России,zakazrf,471142,"филиал Открытого акционерного общества ""Сбербанк России"" - Ульяновское отделение № 8588",7707083893,,7707083893,zakazrf_customer_dialog,0,3
