entity_name,source_system,external_customer_key,external_customer_name,external_inn,external_kpp,query_used,resolution_method,records_total,candidate_rank
ООО Сбербанк-Телеком,sberbank_ast,7736264044_997750001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",7736264044,997750001,7736264044,ast_long_dictionary,253,2
ООО Сбербанк-Технологии.Нойдорф,eis,7819315503_781901001_1127847169680,"Общество с ограниченной ответственностью ""Сбербанк-Технологии.Нойдорф""",7819315503,781901001,Сбербанк-Технологии,eis_choose_organization,0,1
ООО Сбербанк-Технологии.Нойдорф,sberbank_ast,7819315503_781901001,Общество с ограниченной ответственностью «Сбербанк-Технологии.Нойдорф»,7819315503,781901001,7819315503,ast_long_dictionary,0,1
ООО Страховой брокер Сбербанка,eis,12007001449,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,201401001,Страховой брокер Сбербанка,eis_choose_organization,0,1
ООО Страховой брокер Сбербанка,sberbank_ast,7706810730_773001001,"Общество с ограниченной ответственностью ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,773001001,7706810730,ast_long_dictionary,4,1
ООО Страховой брокер Сбербанка,sberbank_ast,7706810730_201401001,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,201401001,7706810730,ast_long_dictionary,25,2
ООО Страховой брокер Сбербанка,zakazrf,544394,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАХОВОЙ БРОКЕР СБЕРБАНКА""",7706810730,,7706810730,zakazrf_customer_dialog,0,1
ПАО Сбербанк России,eis,18950000008,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,Сбербанк,eis_choose_organization,0,1
ПАО Сбербанк России,sberbank_ast,7707083893_590443001,Западно-Уральский банк ПАО Сбербанк,7707083893,590443001,7707083893,ast_long_dictionary,0,1
ПАО Сбербанк России,sberbank_ast,7707083893_032302001,Бурятское отделение №8601 Байкальского банка ПАО Сбербанк,7707083893,032302001,7707083893,ast_long_dictionary,0,2
ПАО Сбербанк России,sberbank_ast,7707083893_263402001,Северо-Кавказский банк ПАО Сбербанк,7707083893,263402001,7707083893,ast_long_dictionary,0,3
ПАО Сбербанк России,sberbank_ast,7707083893_753602002,Читинское ГОСБ № 8600 Байкальского банка ПАО Сбербанк,7707083893,753602002,7707083893,ast_long_dictionary,0,4
ПАО Сбербанк России,sberbank_ast,7707083893_280102001,"Благовещенское отделение №8636 Публичное акционерное общество ""Сбербанк России""",7707083893,280102001,7707083893,ast_long_dictionary,0,5
ПАО Сбербанк России,sberbank_ast,7707083893_143502001,Якутское отделение № 8603 ПАО Сбербанк,7707083893,143502001,7707083893,ast_long_dictionary,0,6
ПАО Сбербанк России,sberbank_ast,7707083893_775003035,Публичное акционерное общество «Сбербанк России»,7707083893,775003035,7707083893,ast_long_dictionary,114,7
ПАО Сбербанк России,sberbank_ast,7707083893_490902000,Северо-Восточное отделение №8645 Дальневосточного банка ПАО Сбербанк,7707083893,490902000,7707083893,ast_long_dictionary,0,8
ПАО Сбербанк России,sberbank_ast,7707083893_540345004,Левобережное отделение № 8047 Сибирского банка ПАО Сбербанк,7707083893,540345004,7707083893,ast_long_dictionary,0,9
ПАО Сбербанк России,sberbank_ast,7707083893_667102006,Свердловское отделение № 7003 ПАО Сбербанк,7707083893,667102006,7707083893,ast_long_dictionary,0,10
ПАО Сбербанк России,sberbank_ast,7707083893_540602002,Бийское отделение Алтайского отделения №8644 Сибирского банка ПАО Сбербанк.,7707083893,540602002,7707083893,ast_long_dictionary,0,11
ПАО Сбербанк России,sberbank_ast,7707083893_027802001,"Публичное акционерное общество ""Сбербанк России"".",7707083893,027802001,7707083893,ast_long_dictionary,0,12
ПАО Сбербанк России,sberbank_ast,7707083893_246602001,ПАО Сбербанк,7707083893,246602001,7707083893,ast_long_dictionary,0,13
ПАО Сбербанк России,sberbank_ast,7707083893_773643002,Среднерусский банк ПАО Сбербанк,7707083893,773643002,7707083893,ast_long_dictionary,212,14
ПАО Сбербанк России,sberbank_ast,7707083893_760443001,"Публичное акционерное общество ""Сбербанк России""",7707083893,760443001,7707083893,ast_long_dictionary,0,15
ПАО Сбербанк России,sberbank_ast,7707083893_112343435,Краснодарское отделение № 8619 Юго-Западного банка ПАО Сбербанк.,7707083893,112343435,7707083893,ast_long_dictionary,0,16
ПАО Сбербанк России,sberbank_ast,7707083893_540602001,Сибирский банк ПАО Сбербанк,7707083893,540602001,7707083893,ast_long_dictionary,419,17
ПАО Сбербанк России,sberbank_ast,7707083893_352502001,Вологодское отделение № 8638 Северного банка ПАО Сбербанк,7707083893,352502001,7707083893,ast_long_dictionary,0,18
ПАО Сбербанк России,sberbank_ast,7707083893_774401001,Тюменское отделение № 29 Западно-Сибирского банка ПАО Сбербанк.,7707083893,774401001,7707083893,ast_long_dictionary,0,19
ПАО Сбербанк России,sberbank_ast,7707083893_010502001,Адыгейское отделение № 8620 Юго-Западного банка ПАО Сбербанк,7707083893,010502001,7707083893,ast_long_dictionary,0,20
ПАО Сбербанк России,sberbank_ast,7707083893_773643001,Московский банк ПАО Сбербанк.,7707083893,773643001,Сбербанк,ast_long_dictionary,0,21
ПАО Сбербанк России,sberbank_ast,7707083893_380843001,Байкальский банк ПАО Сбербанк,7707083893,380843001,Сбербанк,ast_long_dictionary,66,22
ПАО Сбербанк России,sberbank_ast,7707083893_631602001,Поволжский банк ПАО Сбербанк,7707083893,631602001,Сбербанк,ast_long_dictionary,1,23
ПАО Сбербанк России,sberbank_ast,7707083893_667102008,Уральский банк ПАО Сбербанк,7707083893,667102008,Сбербанк,ast_long_dictionary,119,24
ПАО Сбербанк России,sberbank_ast,7707083893_272143001,Дальневосточный банк ПАО Сбербанк,7707083893,272143001,Сбербанк,ast_long_dictionary,88,25
ПАО Сбербанк России,sberbank_ast,7707083893_434502001,"Публичное акционерное общество ""Сбербанк России""",7707083893,434502001,Сбербанк,ast_long_dictionary,0,26
ПАО Сбербанк России,sberbank_ast,7707083893_720302020,Публичное акционерное общество «Сбербанк России»,7707083893,720302020,Сбербанк,ast_long_dictionary,0,27
ПАО Сбербанк России,sberbank_ast,7707083893_332802001,"Публичное акционерное общество ""Сбербанк России""",7707083893,332802001,Сбербанк,ast_long_dictionary,0,28
ПАО Сбербанк России,sberbank_ast,7707083893_165502001,"Публичное акционерное общество ""Сбербанк России""",7707083893,165502001,Сбербанк,ast_long_dictionary,0,29
ПАО Сбербанк России,sberbank_ast,7707083893_773601001,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,773601001,Сбербанк,ast_long_dictionary,2075,30
ПАО Сбербанк России,sberbank_ast,7707083893_121543001,"Публичное акционерное общество ""Сбербанк России"", отделение Марий Эл №8614",7707083893,121543001,СБЕРБАНК РОССИИ,ast_long_dictionary,0,31
ПАО Сбербанк России,zakazrf,2384,"ОАО ""Сбербанка России"" Октябрьское отделение № 4676",7707083893,,7707083893,zakazrf_customer_dialog,0,1
ПАО Сбербанк России,zakazrf,465053,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",7707083893,,7707083893,zakazrf_customer_dialog,0,2
ПАО Сбербанк России,zakazrf,471142,"филиал Открытого акционерного общества ""Сбербанк России"" - Ульяновское отделение № 8588",7707083893,,7707083893,zakazrf_customer_dialog,0,3
